log(MSE-NMF-components),comp
7.078564968,40
5.952406724,40
5.028580609,40
6.551812554,40
4.37548463,40
3.361575872,40
3.699302394,40
4.99971416,40
4.133586696,40
6.013550579,40
5.415824485,40
6.765024334,40
5.472309782,40
5.824539013,40
2.533980636,40
4.867150794,40
5.788967951,40
5.092228126,40
1.968906801,40
0.998385869,40
4.348829173,40
5.918184274,40
5.343222882,40
5.931559076,40
5.792085229,40
6.880411588,40
4.517977407,40
6.713608723,40
3.989655208,40
5.283813584,40
5.15168478,40
7.459207614,40
5.951990219,40
4.265232785,40
3.295736266,40
5.007405903,40
4.683456592,40
3.143066342,40
7.104614472,40
4.803754481,40
7.202731307,40
4.77560767,40
2.511474706,40
4.066285025,40
4.715782527,40
2.134460378,40
5.222456937,40
3.100248851,40
4.14564129,40
6.831451611,40
2.76940315,40
0.46053088,40
6.01980572,40
6.382644141,40
5.501929994,40
3.362717727,40
6.388358174,40
5.966830099,40
0.718124087,40
4.961201735,40
5.066465583,40
6.937056767,40
4.830520651,40
5.943973412,40
4.773892741,40
6.23838095,40
4.964962291,40
3.265691734,40
4.012270097,40
3.416757656,40
5.532402548,40
4.166750149,40
6.548739297,40
5.845355873,40
4.644186792,40
5.874022807,40
6.019437883,40
5.122222508,40
2.640453623,40
6.042110854,40
6.320293018,40
5.139055725,40
5.97129695,40
5.500997158,40
7.417579202,40
3.532738065,40
4.56024311,40
2.881211961,40
3.864217403,40
5.812748817,40
6.284461773,40
5.60317073,40
6.004748497,40
6.105899734,40
5.444163746,40
6.482314443,40
6.131042306,40
6.498031589,40
6.82390037,40
3.827423269,40
6.232414381,40
5.665145238,40
4.405144119,40
4.505598176,40
4.939376762,40
4.292030906,40
1.897237471,40
6.462602858,40
4.876296167,40
5.281838181,40
5.874637942,40
5.328621646,40
1.935147306,40
3.162061303,40
3.866457966,40
4.082697613,40
5.950710142,40
6.826044438,40
5.826694119,40
5.869704765,40
5.430142182,40
7.569615356,40
3.192318392,40
4.284111747,40
3.98323761,40
5.955972041,40
4.213241434,40
6.240164179,40
5.187856842,40
2.670141778,40
2.241306227,40
4.506432049,40
2.402335419,40
3.816148335,40
1.924735033,40
5.174605852,40
6.658662554,40
7.121347527,40
3.948210547,40
6.121678743,40
6.300537928,40
5.21330871,40
5.821393422,40
4.105963004,40
6.641564781,40
5.814427465,40
5.226918862,40
5.338279397,40
6.526893899,40
3.586645066,40
5.200932182,40
2.868955535,40
7.170084823,40
5.433840069,40
4.745029647,40
4.844164378,40
6.217713836,40
6.219422267,40
7.203573751,40
4.677972767,40
5.857825204,40
4.116447273,40
4.953266323,40
3.816377717,40
6.185962758,40
6.29168137,40
6.366936126,40
4.755230086,40
6.80030382,40
5.557637039,40
6.268940736,40
5.311497039,40
8.492484926,40
3.001056363,40
5.382080983,40
3.563525075,40
4.271261585,40
5.501806193,40
6.197324027,40
4.537028502,40
5.214363223,40
8.349693354,40
1.521069525,40
5.410528539,40
5.836946381,40
6.435436129,40
4.305851867,40
3.978154038,40
5.325159751,40
6.867161171,40
2.591701988,40
4.484417945,40
6.074800284,40
5.8893646,40
5.476889175,40
5.175584825,40
6.086755827,40
5.547184463,40
4.605226184,40
6.669286691,40
3.129934542,40
4.377128029,40
6.417629057,40
5.193247319,40
5.140819237,40
6.005883184,40
2.673893953,40
6.877780995,40
6.238331211,40
6.330040935,40
5.395969177,40
6.66482174,40
5.629429729,40
8.980461015,40
5.008374847,40
6.967452843,40
5.22315482,40
3.124381352,40
2.807150317,40
4.090741327,40
3.53322045,40
4.623821608,40
4.244415888,40
5.882882932,40
5.391806904,40
7.199446896,40
6.818974059,40
4.142243507,40
4.040691136,40
5.936137377,40
5.697183397,40
6.224239183,40
4.515943166,40
3.429856844,40
4.339033112,40
3.132557567,40
5.965367259,40
5.390774943,40
6.702940647,40
5.153492673,40
5.020056614,40
4.689214838,40
4.73292665,40
6.403766733,40
7.196220435,40
3.601294182,40
5.90807875,40
6.405742635,40
6.037431013,40
4.234323421,40
4.903085857,40
3.875606803,40
4.597963494,40
5.138145355,40
4.161203064,40
4.989805223,40
6.197984452,40
4.621967857,40
4.729577689,40
8.277681439,40
5.58789155,40
4.433353078,40
2.486047864,40
4.290973509,40
4.980758058,40
6.133102522,40
4.991685617,40
7.391556721,40
5.971966299,40
4.896159581,40
8.125772046,40
5.799466471,40
4.253050282,40
5.231457876,40
3.797066971,40
4.320808604,40
7.386496979,40
3.09624877,40
4.885905848,40
1.937858236,40
4.883769347,40
6.173148051,40
4.956709314,40
5.672788962,40
3.7731369,40
7.13657926,40
7.257655781,40
8.094785761,40
5.422356292,40
