log(MSE-PCA-components),comp,log(MSE-PCA-50-components),log(MSE-PCA-55-components),log(MSE-PCA-60-components)
4.634229323,40,,,
5.097485644,40,,,
5.501428721,40,,,
5.414954387,40,,,
6.704770853,40,,,
5.931999074,40,,,
5.757260421,40,,,
1.074676988,40,,,
5.371639922,40,,,
7.590670042,40,,,
5.240917934,40,,,
7.158400078,40,,,
2.512522935,40,,,
5.285836159,40,,,
3.498410324,40,,,
4.874035233,40,,,
3.269396726,40,,,
4.074492434,40,,,
3.382601576,40,,,
6.616651935,40,,,
5.622846963,40,,,
6.528446481,40,,,
3.205626822,40,,,
7.615595831,40,,,
4.757228573,40,,,
6.453741391,40,,,
6.570126426,40,,,
2.772302579,40,,,
7.257214844,40,,,
3.567808472,40,,,
5.375274593,40,,,
4.875324511,40,,,
7.323438854,40,,,
5.686919958,40,,,
6.063029471,40,,,
4.276282456,40,,,
6.480123006,40,,,
7.42584355,40,,,
8.117185681,40,,,
8.375024116,40,,,
4.862454477,40,,,
4.466156262,40,,,
4.643549404,40,,,
5.433476633,40,,,
4.263240856,40,,,
4.366367211,40,,,
6.841312651,40,,,
8.26113973,40,,,
6.127434699,40,,,
6.987574272,40,,,
6.329925151,40,,,
7.440787264,40,,,
5.539020383,40,,,
6.509230478,40,,,
2.184338083,40,,,
6.175635348,40,,,
6.89477261,40,,,
6.230977295,40,,,
7.080513224,40,,,
5.424376203,40,,,
4.675614315,40,,,
6.35674671,40,,,
5.682105325,40,,,
6.490593815,40,,,
4.347560546,40,,,
6.087866106,40,,,
6.453559829,40,,,
3.883557721,40,,,
2.423018963,40,,,
3.908415432,40,,,
7.176665502,40,,,
6.892971239,40,,,
5.198540783,40,,,
7.026851173,40,,,
2.772022079,40,,,
6.068182089,40,,,
5.07779137,40,,,
4.762328337,40,,,
7.384219451,40,,,
4.659374309,40,,,
7.972471009,40,,,
6.729369959,40,,,
3.254234485,40,,,
3.096523344,40,,,
7.319233198,40,,,
3.82357994,40,,,
5.43569477,40,,,
7.605452608,40,,,
6.774853832,40,,,
7.408001335,40,,,
6.255109817,40,,,
4.992117729,40,,,
3.757307235,40,,,
2.97210793,40,,,
5.499078563,40,,,
6.341511177,40,,,
5.104842534,40,,,
2.912345357,40,,,
7.520077871,40,,,
3.062642391,40,,,
3.908869846,40,,,
4.12046205,40,,,
4.947181688,40,,,
5.383829194,40,,,
8.867001878,40,,,
9.23080179,40,,,
6.224739131,40,,,
5.076965118,40,,,
7.081135179,40,,,
7.757471525,40,,,
5.895249822,40,,,
7.704911406,40,,,
4.082336824,40,,,
7.510298839,40,,,
4.17178661,40,,,
5.656559373,40,,,
3.655452654,40,,,
2.069462257,40,,,
7.194044857,40,,,
5.906594223,40,,,
3.662688776,40,,,
5.45822994,40,,,
4.433858295,40,,,
7.158451322,40,,,
7.323716844,40,,,
5.445725176,40,,,
3.126728546,40,,,
5.743965007,40,,,
4.338050998,40,,,
2.972835723,40,,,
4.625757435,40,,,
5.076118174,40,,,
4.63161357,40,,,
8.706523404,40,,,
4.37060299,40,,,
5.803972419,40,,,
4.404281012,40,,,
5.275891647,40,,,
4.000894656,40,,,
4.711631505,40,,,
4.627136322,40,,,
5.531251457,40,,,
1.113941179,40,,,
3.280261875,40,,,
5.370854254,40,,,
5.469887272,40,,,
4.953219674,40,,,
4.188276108,40,,,
8.160342725,40,,,
7.265054778,40,,,
6.103731059,40,,,
5.264108724,40,,,
7.013535621,40,,,
7.342334126,40,,,
6.675266188,40,,,
4.579319665,40,,,
6.67914663,40,,,
5.276596737,40,,,
7.075542851,40,,,
7.44091728,40,,,
7.514685874,40,,,
4.566587453,40,,,
7.310539,40,,,
3.842940975,40,,,
5.504729253,40,,,
7.274802828,40,,,
6.265419621,40,,,
5.159440729,40,,,
6.618916797,40,,,
7.785238524,40,,,
7.271745209,40,,,
7.008479548,40,,,
6.822770644,40,,,
5.556001448,40,,,
6.039551724,40,,,
6.816753847,40,,,
6.420957136,40,,,
3.973225356,40,,,
0.470846322,40,,,
6.781481803,40,,,
6.822862605,40,,,
4.95030546,40,,,
6.430483184,40,,,
6.621308568,40,,,
5.80675683,40,,,
5.577229501,40,,,
6.8382553,40,,,
3.307675153,40,,,
5.098403119,40,,,
4.602197786,40,,,
6.10539625,40,,,
4.858649695,40,,,
6.266322044,40,,,
7.291323412,40,,,
6.778071195,40,,,
5.50941873,40,,,
0.623836549,40,,,
4.564313064,40,,,
7.087638117,40,,,
5.087229209,40,,,
6.513631762,40,,,
3.313253952,40,,,
4.260446378,40,,,
5.637133819,40,,,
5.970155667,40,,,
3.308292094,40,,,
6.180305423,40,,,
5.964517104,40,,,
5.640276948,40,,,
5.268159829,40,,,
3.239233,40,,,
3.400616871,40,,,
4.010645509,40,,,
6.044127947,40,,,
7.012932831,40,,,
