log(MSE-ICA-components),comp
9.123514155,40
4.937165734,40
5.4141966,40
4.786463789,40
6.684817262,40
8.228884503,40
6.582808166,40
4.968383568,40
4.26727766,40
4.489363213,40
5.843959282,40
8.173487407,40
5.739271033,40
6.870170833,40
5.940897588,40
5.801471396,40
7.474657921,40
6.029345,40
3.95667749,40
3.252368683,40
6.889940413,40
8.235854438,40
5.38682135,40
7.159455977,40
7.593310312,40
5.297023271,40
4.77929671,40
5.471994118,40
5.927687129,40
5.460264332,40
5.581274262,40
4.79137265,40
4.686215762,40
6.495016498,40
4.341842842,40
5.828222134,40
5.149420817,40
8.304660421,40
7.963176385,40
8.16768485,40
5.503182577,40
4.922257461,40
7.312409807,40
3.843119503,40
4.132715557,40
3.612219835,40
4.494145534,40
6.243911765,40
4.962009957,40
5.168354342,40
5.854640255,40
5.504782069,40
4.26314398,40
7.036593906,40
4.590175823,40
3.787173819,40
6.81310573,40
5.047471426,40
2.746856494,40
7.523504155,40
5.73870065,40
8.088510804,40
5.403554172,40
5.576282429,40
5.69409515,40
3.544083596,40
8.476491356,40
3.318078565,40
4.59300682,40
8.549916342,40
8.094099505,40
5.209439125,40
4.13893119,40
4.439737074,40
8.24168091,40
5.770830728,40
4.95398076,40
5.914149357,40
6.203540856,40
4.386201866,40
7.142590639,40
4.247097432,40
5.940686907,40
6.849876385,40
7.689306006,40
7.845556869,40
4.393196396,40
6.661540208,40
8.983501274,40
6.763532996,40
4.940005887,40
7.311983651,40
6.767808471,40
6.668408992,40
7.481691431,40
6.308373701,40
8.929489827,40
7.306079124,40
5.217839085,40
6.710642162,40
5.20125557,40
6.084714056,40
7.560234376,40
8.848816546,40
5.669035334,40
5.612841601,40
5.664316162,40
2.618115967,40
4.860217449,40
3.499852421,40
5.66221586,40
5.993358923,40
7.070324576,40
5.139079075,40
6.849337441,40
6.783209846,40
8.024543757,40
5.90267173,40
5.104051129,40
3.987653669,40
5.053735161,40
4.50341475,40
6.497169316,40
7.572251113,40
4.749360097,40
4.730619749,40
5.012835732,40
6.959068169,40
6.848007218,40
6.00371216,40
6.696224677,40
6.118526402,40
5.857750163,40
8.601458349,40
4.413842559,40
3.547975808,40
6.840671187,40
7.98355022,40
4.145648296,40
3.162796863,40
2.429800231,40
5.548689791,40
5.43337199,40
7.392085757,40
5.885912642,40
5.712296138,40
6.955918532,40
7.367179008,40
7.414665891,40
4.269349105,40
6.811468194,40
7.214283558,40
0.099869086,40
3.583000429,40
6.507987131,40
6.584069796,40
5.858159569,40
2.918024738,40
6.48275307,40
8.595336093,40
5.722125876,40
7.929902752,40
6.792172884,40
3.601830346,40
6.913815795,40
2.203767794,40
4.603804508,40
7.176281375,40
5.844726385,40
5.651105027,40
2.415292062,40
4.249168582,40
8.113939526,40
5.737724804,40
5.699169649,40
3.267421819,40
7.034229723,40
5.238743147,40
3.116676675,40
5.631110051,40
7.815429441,40
7.758551271,40
1.920064125,40
7.416541266,40
5.686893783,40
5.694882719,40
6.683199503,40
4.226187544,40
2.128234612,40
5.117131913,40
6.422050861,40
8.176635098,40
8.365629685,40
4.198785084,40
5.921128082,40
6.635050552,40
4.487214578,40
6.149709779,40
5.426793354,40
5.225029992,40
6.551819307,40
8.303851054,40
5.640100358,40
6.920775584,40
5.964878086,40
4.224089192,40
4.757635836,40
6.381834891,40
6.717116503,40
7.614558041,40
7.173155947,40
4.34257683,40
7.545582942,40
6.475415365,40
4.219272737,40
6.828049647,40
5.960819267,40
6.712852239,40
3.861344371,40
4.157987659,40
7.07287084,40
6.908858323,40
2.541131864,40
3.248604681,40
6.971911771,40
5.060970488,40
5.484997177,40
5.554880937,40
7.097729895,40
5.075539387,40
4.087737855,40
4.859784134,40
5.045885938,40
7.144991938,40
7.348314603,40
6.463598227,40
6.81097128,40
4.818783483,40
5.133349097,40
7.490852145,40
6.255482289,40
5.673347912,40
2.935550297,40
6.168661652,40
4.255701878,40
3.457334122,40
6.79763163,40
6.343688461,40
6.869773406,40
6.335757586,40
5.213815683,40
7.714114681,40
9.087627639,40
5.382194571,40
4.654745651,40
5.415951262,40
4.974680117,40
3.939299275,40
4.818187567,40
7.570420663,40
5.879729062,40
6.534268111,40
4.982938984,40
5.853205943,40
5.020270731,40
7.662518282,40
6.041614543,40
4.388265904,40
6.354204277,40
5.680937964,40
7.776190443,40
7.871599687,40
2.899891023,40
6.221762498,40
5.914160237,40
6.570190114,40
5.290194561,40
4.628869368,40
5.59642117,40
9.135046173,40
5.353350284,40
5.640892063,40
6.421841871,40
2.034341764,40
5.536902542,40
6.167340631,40
6.904282719,40
6.527835974,40
4.876693312,40
4.845042054,40
7.178256573,40
5.881747028,40
7.342090094,40
7.144353755,40
4.308497009,40
5.377487854,40
4.35372206,40
6.288343916,40
8.715307825,40
5.616631206,40
4.854574051,40
7.404913963,40
7.351199174,40
6.373731171,40
8.221988031,40
6.15905374,40
7.726724117,40
5.529178437,40
5.67861354,40
3.182696332,40
8.076471295,40
7.444001498,40
5.715136133,40
