log(MSE-Trunc-SVD-components),comp
6.217648059,40
5.052147382,40
5.996567889,40
4.429413277,40
5.824852204,40
5.185018149,40
6.089436856,40
5.90490843,40
4.914919372,40
6.104771911,40
5.886382338,40
4.657101338,40
6.427747058,40
5.567281356,40
7.043941513,40
4.902230939,40
4.154849979,40
6.689104603,40
5.531434152,40
5.737430999,40
8.419514554,40
5.039764783,40
3.855885619,40
5.369722366,40
5.811925051,40
6.760339614,40
2.418240487,40
5.827939378,40
5.605071846,40
7.419923586,40
5.963676069,40
5.84117841,40
4.917542899,40
8.930331875,40
6.762411174,40
5.140391718,40
7.704309708,40
7.446307571,40
6.090776269,40
7.12489466,40
7.016814664,40
5.804188982,40
3.94315149,40
6.753943023,40
2.570450836,40
5.618205394,40
6.242508214,40
5.779837751,40
5.727223977,40
5.106664598,40
3.233845013,40
4.371402928,40
6.521221591,40
5.766420091,40
6.126687195,40
5.198959915,40
4.894058844,40
5.50865033,40
6.381850588,40
9.123596452,40
4.947145377,40
5.346102998,40
4.78656676,40
6.704930253,40
8.235549993,40
6.591755883,40
4.984602859,40
4.23409213,40
4.508759639,40
5.865525631,40
8.210335761,40
5.752696688,40
6.873937184,40
5.977688644,40
5.787586411,40
7.466861599,40
6.030145005,40
3.911227706,40
3.287499162,40
6.898917266,40
8.251431325,40
5.381500982,40
7.120905545,40
7.663844326,40
5.312845416,40
4.789760311,40
5.484369216,40
5.957843271,40
5.466041692,40
5.577934127,40
4.822655425,40
4.70687743,40
6.497504798,40
4.347891767,40
5.824441011,40
5.130116197,40
8.31659658,40
7.955215517,40
8.185802743,40
5.49829805,40
4.965911421,40
7.332884349,40
3.820470527,40
4.160154,40
3.618125367,40
4.267674415,40
6.252472295,40
4.96573918,40
5.202466292,40
5.878839362,40
5.548333413,40
4.330413457,40
7.032575251,40
4.604428028,40
3.484836099,40
6.829452559,40
5.064108178,40
2.750296961,40
7.563412442,40
5.758373883,40
8.079494746,40
5.38974679,40
5.548168874,40
5.709946503,40
3.57542454,40
8.486951774,40
3.373128167,40
4.581856547,40
8.55648372,40
8.240518507,40
5.21841079,40
4.164061455,40
4.607794151,40
8.239588713,40
5.74562353,40
4.984050178,40
5.960373867,40
6.191868438,40
4.34900819,40
7.157984502,40
4.276579649,40
5.98096945,40
6.858696569,40
7.68093319,40
7.848143911,40
4.483949011,40
6.642036416,40
9.036469026,40
6.760382034,40
5.034883393,40
7.306002363,40
6.764528355,40
6.677004282,40
7.486727722,40
