log(MSE-SVD-components),comp
8.81157007,40
5.23552821,40
5.925756193,40
2.651475759,40
6.907494152,40
6.689393786,40
6.586313667,40
5.847967718,40
7.173868166,40
5.585724934,40
8.98977642,40
4.980841484,40
7.257935942,40
7.057068839,40
3.009578687,40
2.697889297,40
3.996402468,40
3.383582515,40
4.807962791,40
4.428038204,40
6.523426312,40
7.657817674,40
7.283826923,40
7.007195131,40
3.956979799,40
6.987777953,40
7.50670686,40
5.889707844,40
6.284479019,40
4.392213789,40
3.293467253,40
6.419363328,40
2.979772306,40
5.975716888,40
5.333278494,40
6.754599725,40
5.599990067,40
5.406783384,40
4.432276399,40
5.726742123,40
6.456351017,40
7.202783646,40
3.544754427,40
6.328513563,40
6.37422725,40
6.83522539,40
4.627257374,40
4.816231272,40
5.950051259,40
4.59223981,40
5.204843474,40
4.765828315,40
4.952341557,40
6.136247109,40
4.691112813,40
6.734366345,40
8.299316826,40
5.514428189,40
4.279887312,40
2.367979171,40
4.124937662,40
4.942566678,40
6.140688538,40
4.898708377,40
7.370085711,40
5.896780083,40
4.870960745,40
8.211387481,40
7.240137141,40
4.151477389,40
5.779274391,40
3.769662995,40
4.326143984,40
7.38252746,40
3.813060504,40
4.715426458,40
1.639125888,40
7.110354131,40
6.836616426,40
7.928877579,40
5.724264137,40
3.63260382,40
7.26056179,40
7.424522133,40
8.098231426,40
6.196947448,40
4.060337772,40
7.573308104,40
5.123939729,40
2.654754664,40
3.292705612,40
5.056940568,40
5.492807412,40
8.126886919,40
8.022996497,40
6.015814634,40
4.639391734,40
6.531287863,40
7.993359866,40
6.546273815,40
6.162593815,40
6.537667021,40
4.926790175,40
4.608889153,40
7.287963039,40
6.856885174,40
7.587421441,40
5.034745968,40
7.687253993,40
4.974288718,40
4.40431664,40
3.108133148,40
3.737908281,40
1.308175271,40
6.003385511,40
4.969262348,40
7.439014955,40
5.127253734,40
6.306501637,40
6.388323571,40
6.233439017,40
3.864868313,40
7.184641751,40
4.428889975,40
7.623999584,40
6.986541061,40
6.02751816,40
7.090080409,40
4.778777995,40
5.016229258,40
6.996589959,40
2.233903888,40
5.258462645,40
7.167894169,40
8.657115375,40
6.786098399,40
6.943228787,40
4.130602201,40
4.010855638,40
6.084387416,40
4.499319913,40
5.25096647,40
2.711722851,40
4.197374254,40
4.086441918,40
6.148723848,45
4.1686724,45
4.770532284,45
5.08021812,45
6.136390638,45
5.240317885,45
4.408670467,45
6.904856642,45
7.065232225,45
7.738432744,45
7.05985976,45
5.956692129,45
7.153583665,45
6.486950887,45
4.234156924,45
6.769688558,45
3.974515138,45
3.646555328,45
5.943566226,45
3.007997295,45
5.636772206,45
7.326511439,45
4.444339427,45
6.645917222,45
6.428584442,45
4.536843411,45
3.325359916,45
6.359998411,45
5.17398504,45
5.971881303,45
5.036402441,45
6.437388669,45
5.468658532,45
4.086081452,45
6.384866526,45
6.281411975,45
6.531920842,45
5.616065282,45
7.593436449,45
8.656560432,45
5.175912374,45
9.129777905,45
5.382757271,45
6.158071913,45
5.883086466,45
4.728127934,45
5.891414461,45
2.598230975,45
3.759593459,45
4.924960914,45
5.813244218,45
4.741323356,45
6.502019947,45
7.526656352,45
5.499064083,45
5.152152446,45
5.022435715,45
7.599124199,45
4.619508429,45
5.46773212,45
4.20845559,45
6.840986865,45
8.99252806,45
6.509461819,45
6.172547627,45
8.564334277,45
5.664676521,45
2.857981438,45
5.317745784,45
4.821993022,45
6.416956676,45
4.933970925,45
3.411131195,45
8.00546892,45
6.609718224,45
8.145361331,45
5.347960279,45
8.011851506,45
7.629711515,45
4.38489118,45
3.484214178,45
4.330370075,45
4.713107411,45
6.141794647,45
4.148805784,45
4.12470825,45
5.734113301,45
6.785852854,45
5.725162494,45
3.551157075,45
7.152079173,45
5.289824372,45
6.908468754,45
5.098923102,45
7.084739628,45
7.65077282,45
6.436780084,45
6.545509163,45
6.937982193,45
6.950477557,45
8.848326645,45
7.445058679,45
4.972853966,45
6.71870996,45
5.768944266,45
2.559361972,45
6.035568017,45
7.033483757,45
4.636633337,45
6.455845149,45
8.318037726,45
5.96402626,45
6.843827948,45
7.045136713,45
4.189997081,45
6.294579712,45
7.019243861,45
4.9482834,45
4.572939863,45
8.856669504,45
4.476931161,45
6.590193036,45
6.500696028,45
5.504396281,45
6.164117736,45
5.135043291,45
7.222051275,45
6.114718295,45
4.97775598,45
5.843772698,45
4.223548718,45
5.82992547,45
5.105083582,45
6.012789575,45
5.897232925,45
4.816753399,45
6.010579545,45
5.758479252,45
4.584226374,45
6.399821461,45
5.440046354,45
7.028000261,45
4.800613787,45
4.029795733,45
6.646790889,45
5.430744042,45
5.736935096,45
8.40646138,45
4.906107336,45
3.568303932,45
5.29912141,45
5.723384174,45
6.659577634,45
2.200329155,45
5.781253801,45
5.610162562,45
7.294817282,45
5.8386688,45
5.598721891,45
4.775331106,45
8.898929915,45
6.649752788,45
5.050188711,45
7.682624484,45
7.45796819,45
6.048296406,45
7.109439242,45
6.979919252,45
5.689025896,45
3.771789867,45
6.737224677,45
2.3013117,45
5.48825911,45
6.223182197,45
5.711922321,45
5.629532507,45
5.013888967,45
3.056068912,45
4.204817415,45
6.46712247,45
5.70514944,45
5.926081309,45
5.117163006,45
4.729497516,45
5.397288426,45
6.3181706,45
9.100669119,45
4.83860484,45
5.336209977,45
4.705358474,45
6.530253847,45
8.207242964,45
6.545367133,45
4.884120938,45
3.979089095,45
4.389842462,45
5.783715876,45
8.15368928,45
5.749345702,45
6.84949216,45
5.924747263,45
5.670767224,45
7.382023617,45
5.941685985,45
3.48071317,45
3.11068062,45
6.835674651,45
8.202533142,45
5.310920715,45
7.070867221,45
7.63927377,45
5.175010537,45
4.653506698,45
5.393311986,45
5.776002305,45
5.342028884,45
5.471763864,45
4.683360217,45
4.573173221,45
6.470434738,45
3.987741662,45
5.779051043,45
4.964078444,45
8.301953949,45
7.929712864,45
8.103463746,45
5.401764462,45
4.897016397,45
7.225682849,45
3.712195223,45
3.961027642,45
3.461109433,45
4.20237447,45
6.178373326,45
4.802441389,45
5.049802111,45
5.809897405,45
5.484087243,45
4.185328315,45
7.015726241,45
4.501481314,45
3.265146425,45
6.771187263,45
4.905108274,45
2.401286677,45
7.515159022,45
5.592838639,45
8.075714888,45
5.255901148,45
5.633697404,45
5.634967843,45
3.462261839,45
8.43278099,45
3.208255665,45
4.454890787,45
8.549935646,45
8.209320199,45
5.114408338,45
3.936274579,45
4.335746117,45
8.228864515,45
5.743814118,45
4.77736064,45
5.83571488,45
6.137254513,45
4.28487925,45
7.138638807,45
4.146374026,45
5.772682684,45
6.817599326,45
7.687125217,45
7.83577145,45
4.474381958,45
6.637516817,45
8.991305668,45
6.765563921,45
4.971737763,45
7.228046333,45
6.743089181,45
6.584456844,45
7.472912456,45
6.254181755,45
8.901758523,45
7.318718186,45
5.166020302,45
6.623734911,45
5.171104991,45
5.981538393,45
7.52485646,45
8.929961474,45
5.667060862,45
5.547201952,45
5.616864699,45
2.331548477,45
4.766647649,45
3.343833043,45
5.568903681,45
5.957506142,45
7.036279493,45
5.091854724,45
6.801427465,45
6.757499944,45
8.009483801,45
5.897003029,45
5.03649523,45
3.642136563,45
4.923309148,45
4.625639041,45
6.398330549,45
7.550025619,45
4.637142739,45
4.630466864,45
5.016808826,45
6.948732701,45
6.760561133,45
5.834986644,45
6.611513976,45
5.604676602,45
5.695938682,45
8.592838427,45
4.083113054,45
3.351274832,45
6.78296748,45
7.834429193,45
4.028970731,45
2.988132054,45
2.207179541,45
5.481380353,45
5.344389593,45
7.375912398,45
5.691717132,45
5.622392696,45
6.983468871,45
7.219666894,45
7.370755164,45
4.232438146,45
6.709662132,45
7.225839357,45
-0.102100455,45
3.430943617,45
6.409265165,45
6.574319297,45
5.475717764,45
2.824766587,45
6.393486336,45
8.518525662,45
5.687834342,45
7.816607457,45
6.73441968,45
3.545740463,45
6.913031375,45
1.963521917,45
4.491041449,45
7.139261628,45
5.783481401,45
5.600951152,45
2.127762206,45
4.090411514,45
8.06086712,45
5.600888465,45
5.598374938,45
2.80159991,45
7.014136538,45
5.141782318,45
2.927479996,45
5.578311308,45
7.771712734,45
7.638600566,45
1.258071988,45
7.316668517,45
5.608856056,45
5.667164645,45
6.696812443,45
4.158774835,45
1.850628089,45
5.009652552,45
7.067572634,45
8.191815987,45
8.272456783,45
4.227304318,45
5.857877742,45
6.638937147,45
4.392281189,45
6.092465878,45
5.302959134,45
5.167022328,45
6.523944509,45
8.215229353,45
5.698872573,45
6.789535472,45
5.906062301,45
4.10180542,45
4.609445245,45
6.27309835,45
6.625527158,45
7.483806988,45
7.14815973,45
4.240895022,45
7.54131053,45
6.411244759,45
4.052695284,45
6.763516057,45
5.8962062,45
6.643930311,45
3.673548762,45
3.964709204,45
6.96716636,45
6.885990378,45
2.193077467,45
2.995369048,45
6.89782434,45
4.912077802,45
5.392855015,45
5.501074279,45
6.962244302,45
5.057126442,45
4.004587554,45
4.718706751,45
4.970072771,45
7.128624444,45
7.28991842,45
6.403099421,45
6.746280851,45
4.630477278,45
5.117586036,45
7.312683897,45
5.18861198,45
5.663393408,45
2.747631192,45
6.165494562,45
4.07461046,45
3.285932497,45
6.731253237,45
6.251188993,45
6.878664352,45
6.243307417,45
5.04662277,45
7.653300182,45
9.076234453,45
5.28749146,45
4.505249188,45
5.364696382,45
4.853684474,45
3.800103142,45
4.645566015,45
7.451585817,45
5.840282124,45
6.480636765,45
4.733362185,45
5.802982498,45
4.85648792,45
7.497820467,45
5.928457039,45
4.28223825,45
6.263803657,45
5.670406108,45
7.725382206,45
7.845973622,45
2.680969689,45
6.193354069,45
5.793057616,45
6.558266281,45
5.168006751,45
4.493416359,45
5.512199967,45
9.102476475,45
5.256253871,45
5.55559977,45
6.365877093,45
1.621896601,45
5.420118672,45
6.134129436,45
6.851045813,45
6.428041894,45
4.792567771,45
4.817156018,45
7.082331118,45
5.814800692,45
7.354411981,45
7.085828794,45
4.38802439,45
5.283128284,45
4.288721984,45
6.214908987,45
8.715272403,45
5.526601127,45
4.420600437,45
7.235577146,45
7.381039615,45
6.371125613,45
8.193223127,45
6.072828216,45
7.709756153,45
5.38887244,45
5.676747584,45
2.994704066,45
8.059726895,45
7.392987732,45
5.618793975,45
5.528950683,45
5.836914948,45
4.578376743,45
5.414540212,45
6.544934671,45
5.810198296,45
5.099793109,45
5.713912873,45
5.930921654,45
6.947364209,45
4.678265552,45
3.801362827,45
7.125386829,45
5.991635622,45
8.324293516,45
6.875299772,45
6.74847578,45
7.149919232,45
8.015897655,45
4.270806351,45
7.782971967,45
7.205827768,45
2.733871575,45
7.193277107,45
3.829071535,45
6.417590769,45
4.112602116,45
6.293516722,45
2.851843825,45
4.013706818,45
7.444402841,45
5.451757323,45
-0.529580521,45
5.730781391,45
4.630747417,45
5.613109228,45
6.552307827,45
4.903316799,45
6.987347159,45
6.568427345,45
2.165454877,45
5.840686058,45
3.684489415,45
5.106372999,45
4.085489965,45
6.953814026,45
6.239204628,45
6.570323317,45
7.329895212,45
7.768529939,45
6.948208319,45
5.676907162,45
8.461028086,45
5.424638811,45
6.935052544,45
5.621415171,45
5.841898918,45
7.904882274,45
1.621369016,45
5.387149855,45
7.225100997,45
5.661588739,45
7.820032578,45
3.84819582,45
4.036958677,45
5.868372208,45
7.297108673,45
5.299260601,45
5.773246352,45
5.634050041,45
4.670458062,45
6.662314369,45
6.73983024,45
2.335442348,45
6.027982309,45
5.780845895,45
5.118118251,45
7.56668278,45
7.222261376,45
6.64855136,45
6.858405815,45
7.229093706,45
3.34322741,45
5.015903477,45
5.524201605,45
3.108194511,45
8.468363538,45
3.256471919,45
8.514081749,45
8.167070123,45
5.058636534,45
5.079899247,45
5.087536429,45
7.114307186,45
5.520531226,45
7.659387012,45
6.042084237,45
5.033120565,45
5.762362028,45
6.105763772,45
6.645184958,45
5.688300544,45
6.633138986,45
6.21230433,45
6.155988387,45
2.510208436,45
4.235305922,45
6.471705668,45
4.276265284,45
5.655357196,45
1.341808959,45
6.990523199,45
4.356376208,45
4.787816448,45
7.342367888,45
2.956536401,45
4.796228541,45
5.256097899,45
6.555418772,45
3.033517925,45
4.517501466,45
4.408285024,45
6.640688149,45
4.163309052,45
2.049290294,45
4.825586633,45
6.533006253,45
6.167398796,45
5.645224299,45
4.093056654,45
6.064735202,45
6.228162127,45
6.605761957,45
6.069873595,45
5.855975455,45
7.152972771,45
8.39245295,45
4.406451252,45
5.446428136,45
5.226081327,45
5.954166679,45
4.807111547,45
5.929857922,45
3.252236459,45
5.44109745,45
4.936061014,45
6.125525108,45
4.725439955,45
6.778280536,45
4.127050212,45
6.411150742,45
6.764317682,45
5.583910964,45
7.79392361,45
5.910288881,45
8.858159331,45
6.524930806,45
7.876998214,45
3.122315719,45
3.190143616,45
4.873318379,45
4.592013025,45
6.213950045,45
6.585071681,45
8.009176693,45
5.0656769,45
8.265767527,45
2.152389037,45
4.652177261,45
6.242719914,45
7.52855461,45
2.130011403,45
0.453458592,45
6.831188721,45
5.752153104,45
5.121241761,45
5.956375512,45
6.385166171,45
7.897025987,45
4.347439321,45
6.983716087,45
8.578922344,45
4.876783794,45
5.090284952,45
7.644127049,45
5.935427142,45
4.838097386,45
4.617456611,45
4.821892408,45
5.039959409,45
3.355782557,45
7.294091602,45
4.546989827,45
7.630647513,45
6.580166426,45
1.93642007,45
3.960446019,45
5.52852108,45
1.685928646,45
5.552034107,45
2.610085949,45
4.854665843,45
6.896088286,45
6.447758301,45
-0.196360067,45
6.594470736,45
6.673956136,45
6.385914596,45
4.409360922,45
7.174213536,45
6.96082336,45
-0.376581772,45
4.299552967,45
4.943578087,45
7.876020976,45
4.765897312,45
5.909107737,45
6.175251336,45
6.413979997,45
4.848707393,45
4.908087479,45
5.189540343,45
6.568328428,45
5.471994439,45
3.871257276,45
6.749664969,45
7.901927835,45
8.161089922,45
5.811204356,45
6.634701048,45
5.427373227,45
3.027421628,45
5.973569364,45
6.117051492,45
4.899144258,45
6.260392098,45
7.064026912,45
7.535989137,45
3.254954164,45
4.386117339,45
2.60106302,45
4.924754093,45
5.780458315,45
6.224620188,45
7.314221015,45
5.78842135,45
